title,href,d1id,dirId,docId,qb,enc,section,rank,search_sort,spq
여자친구 선물,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=8020207&docId=374420755&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,8,8020207,374420755,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,1,0,0
여자친구선물,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80101&docId=374701847&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,8,80101,374701847,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,2,0,0
군대 가기전여자친구 선물여자친구,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60304&docId=303125968&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,6,60304,303125968,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,3,0,0
여자친구선물,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80101&docId=374732250&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,8,80101,374732250,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,4,0,0
여자친구 선물사주려는데 어떤 드라이,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=31402&docId=371573822&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,3,31402,371573822,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,5,0,0
여자친구 선물집들이 축하겸!,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=50501&docId=374647134&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,5,50501,374647134,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,6,0,0
여자친구 선물해줄만한 이쁜 mlb모자,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=8040203&docId=375278358&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,8,8040203,375278358,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,7,0,0
30대초반 직장인여자친구 선물로 주,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=8110103&docId=367456103&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,8,8110103,367456103,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,8,0,0
20대 대만여자친구 선물,https://kin.naver.com/qna/detail.nhn?d1id=9&dirId=9020108&docId=375015971&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,9,9020108,375015971,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,9,0,0
여자친구 선물고민,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=31302&docId=374675053&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,3,31302,374675053,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,10,0,0
15살여자친구 선물추천,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80107&docId=374819275&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0,8,80107,374819275,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,11,0,0
여자친구 선물,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=310&docId=375207073&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0,3,310,375207073,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,12,0,0
예비고여자친구 선물추천,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80101&docId=375306848&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0,8,80101,375306848,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,13,0,0
부담스러운여자친구 선물,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80101&docId=375116853&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0,8,80101,375116853,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,14,0,0
여자친구선물추천 부탁드려요!!!,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=511&docId=362480389&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0,5,511,362480389,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,15,0,0
니트여자친구 선물할건데 질문이요!!..,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=5040104&docId=375313033&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0,5,5040104,375313033,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,16,0,0
여자친구 선물사려고 합니다~,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80107&docId=362158180&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0,8,80107,362158180,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,17,0,0
여자친구선물추천 부탁드립니다.!,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80101&docId=362578382&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0,8,80101,362578382,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,18,0,0
여자친구 선물추천,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=50402&docId=372136195&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0,5,50402,372136195,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,19,0,0
100일여자친구 선물로 무엇이 팩트...,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=3010202&docId=374933718&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0,3,3010202,374933718,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,20,0,0
여자친구 선물로 샤틴원피스 좋을까요?,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=50401&docId=375011517&qb=7Jes7J6Q7Lmc6rWsIOyEoOusvA==&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0,5,50401,375011517,7Jes7J6Q7Lmc6rWsIOyEoOusvA,utf8,kin.qna,21,0,0
